title,url,views,year,image_url,content
барби испытывает отвращение,https://memepedia.ru/barbi-ispytyvaet-otvrashhenie/,32000,2023,https://memepedia.ru/wp-content/uploads/2025/02/sockedbarbiecover-360x270.jpg,"Барби испытывает отвращение (Disgusted Barbie) — мем с куклой Mermaid Skipper Barbie, которая выглядит шокированной или недовольной. Снимок сделан под углом снизу, что усиливает выражение на лице игрушки. Мем используют в качестве реакции на удивительные, шокирующие или неприятные события."
о господи это новая эмоция,https://memepedia.ru/o-gospodi-eto-novaya-emociya/,6800,2023,https://memepedia.ru/wp-content/uploads/2024/07/novaja-emocija-golovolomka-mem-shablon-360x270.jpg,"О господи, это новая эмоция? (A new emotion?) – мем с кадром из мультфильма “Головоломка 2”, в котором различные картинки и реакции выдают за новую эмоцию."
мёд медятина,https://memepedia.ru/myod-medyatina/,5900,2023,https://memepedia.ru/wp-content/uploads/2024/05/16049980005faa53701e3a52.98733734-360x270.jpg,"Мёд, медятина (сука ну мёд) – мемная фраза тиктокерши Ларисы. Женщина низким голосом, с удовольствием, растягивая слова, приговаривает: “Сука ну мед, мед блядь, медятина, мед”. Мем используют, чтобы описать восторг от чего-то вкусного, красивого, остроумного и тд."
алексей поднебесный,https://memepedia.ru/aleksej-podnebesnyj/,12400,2023,https://memepedia.ru/wp-content/uploads/2024/04/podnebesnyj-360x270.jpg,"Алексей Поднебесный – российский общественный деятель и блогер, прославившийся в рунете как антифеминист и негласный лидер инцелов. Весной 2024 года шутки и мемы про него стали выходить за пределы локальных сообществ."
никто конечно же ничего не,https://memepedia.ru/nikto-konechno-zhe-nichego-ne/,27200,2023,https://memepedia.ru/wp-content/uploads/2024/01/kanevskij-mem-360x270.jpg,"Никто конечно же ничего не – мем с кадром из передачи “Следствие вели” с Леонидом Каневским. Двухпанельная картинка показывает ситуации, в которых кто-то не выполняет обещаний."
альтушка на госуслугах,https://memepedia.ru/altushka-na-gosuslugax/,90800,2023,https://memepedia.ru/wp-content/uploads/2024/01/altushki-360x270.jpg,"Альтушка на Госуслугах – серия ироничных мемов про то, что каждый мужчина может получить альтушек на сервисе “Госуслуги”."
суглинки и клеопатра,https://memepedia.ru/suglinki-i-kleopatra/,11100,2023,https://memepedia.ru/wp-content/uploads/2024/01/kto-takie-suglinki-360x270.jpg,"Суглинки и Клеопатра – абсурдный мем из Тиктока, в котором рассказывают выдуманные истории о противостоянии суглинок и Клеопатры."
меховая шапка,https://memepedia.ru/mexovaya-shapka/,8400,2023,https://memepedia.ru/wp-content/uploads/2024/01/shapka-sssr-mem-360x270.jpg,"Меховая шапка (Пыжиковая шапка) – мем про старость, символом которой стала советская пыжиковая шапка. Используется в сочетании с конструкцией “Когда сказал X вместо Y”."
испуганная собака,https://memepedia.ru/ispugannaya-sobaka/,7500,2023,https://memepedia.ru/wp-content/uploads/2023/12/39-360x270.jpg,"Испуганная собака (I’m listening dog, confused dog) – мем из Тиктока, в котором черная собака нервно оглядывается по сторонам. Используется в ситуациях, когда нужно показать растерянность."
чипи чипи чапа чапа,https://memepedia.ru/chipi-chipi-chapa-chapa/,16500,2023,https://memepedia.ru/wp-content/uploads/2023/12/chipi-chipi-chapa-chapa-360x270.jpg,"Чипи Чипи Чапа Чапа – запоминающийся припев из песни Кристелл “Дубидубиду”, которая стала популярным мемом в интернете в конце 2023 года."
